locality,latitude,longitude
Nawada,28.6241571,77.0367022
"Sector 57, Gurgaon",28.4234414,77.0765927
Bara Tooti Chowk,28.6585239,77.2126987
"Kurmaguda, Hyderabad, Telangana, India",17.3625636,78.5000555
Sector 42,28.4687885,77.296542
Greater Kailash,28.5428238,77.2395479
Sector 49,28.3898549,77.2663771
"Tarsali, Vadodara, Gujarat, India",22.2563322,73.2162105
"GARCHUK, Guwahati, Assam, India",26.1051468,91.7125264
"Kaggadasapura to Outer Ring Road, B K Abbaiah Layo",12.9886919,77.6805585
"Ulubari, Guwahati, Assam, India",26.168344,91.754068
Rajouri Garden,28.6415294,77.1209145
"Dhakoli, Zirakpur, Punjab, India",30.6543523,76.8451904
"Kandivali (East), Govind Dalvi Nagar, Kandivali Ea",19.201724,72.8540664
"Miyapur, Telangana, India",17.5169014,78.3428304
"Sultanpur, South Delhi",28.4964056,77.1643337
Beta I,28.4797984,77.5060438
"Sector 3, HSR Layout, Bengaluru, Karnataka, India",12.9079567,77.640957
"Kapra, Secunderabad, Telangana, India",17.4885251,78.5681716
Nehru Nagar III,28.6534341,77.4443807
"Meethapur Chowk, Badarpur",28.5004609,77.3163235
"Marol Village, Marol Maroshi Road, Gamdevi, Marol ",19.1122755,72.8791222
"Sathya Nagar, Padi, Chennai, Tamil Nadu 600050, In",13.0921726,80.1784392
"Mansoorabad, Hyderabad, Telangana, India",17.3513367,78.5625531
Crossings Republik,28.6294093,77.4329048
"Rohini, Sector 8, Delhi, India",28.7020337,77.1237928
"VGK GREEN CITY, Thiruvancherry Road, Chennai, Tami",12.8739056,80.1487016
"Kendriya Vihar, K B Sandra, Venkatala Village, Cho",13.1065642,77.5999462
South City Archade Sector 41,28.45695,77.063473
Burari,28.7535212,77.1948241
"Sector 46, Gurgaon",28.4345552,77.0578855
Sector 52,28.4354721,77.0823482
Dwarka Sector 7,28.5842915,77.0715564
"HSR Layout, Bengaluru, Karnataka, India",12.9121181,77.6445548
"NRI Layout, Bengaluru, Karnataka, India",13.0298083,77.6793064
Lajpat Nagar 4,28.5609053,77.2390784
Uttam Nagar,28.6212718,77.0613266
Palam Village,28.5900637,77.0887828
"RTC Colony, Chanda Nagar, Hyderabad, Telangana, In",17.4898355,78.3365726
"Mundera Chungi, Prayagraj, Uttar Pradesh, India",25.4490879,81.7559706
"Modi Pon Colony, Modinagar, Uttar Pradesh, India",28.8290703,77.5787776
"Rajiv Gandhi Nagar, Langar Houz, Hyderabad, Telang",17.3722339,78.4175761
"Wadala East, Wadala, Mumbai, Maharashtra, India",19.0088678,72.8573828
South City 2,28.4175717,77.0528484
"Infocity, Sector 34, Gurgaon, Haryana, India",28.430856,77.0157837
"Asha Nagar, Kandivali East, Mumbai, Maharashtra, I",19.2139911,72.8655789
"Rani Bagh, Pitampura, Delhi, India",28.6895479,77.1265842
"Shivaji Nagar, Poonamallee, Chennai, Tamil Nadu, I",13.0587225,80.1414627
"Kandivali East, Mumbai, Maharashtra, India",19.2114533,72.8737217
"Murugeshpalya Airport Wall Road, Manjunatha Lay Ou",12.9527202,77.6548944
"Medsol Hospital, 1st Block, Shirke Layout, Kengeri",12.9311844,77.4929961
"Ambarnath West Police Station, Kalyan - Badlapur R",19.2112481,73.1893569
"Nasriganj, Chitrakut Nagar, Danapur Nizamat, Danap",25.6425738,85.064258
"Bopal Char Rasta, Ambli, Ahmedabad, Gujarat",23.0287043,72.4770976
Uniworld Garden Sector 47,28.426936,77.039009
"Marathalli Bridge, Lakshminarayana Pura, Chandra L",12.9567949,77.7034359
"Sector 48, Gurgaon",28.4128529,77.0379802
"Mayuri Nagar Welfare Association, Road No 30, Bhag",17.4934864,78.3856303
"Hall Bazar, Katra Ahluwalia, Amritsar, Punjab, Ind",31.6293094,74.8777591
"Sector 44, Gurgaon",28.448479,77.0758733
"Ram Mandir Rd, Mahatma Jyotiba Phule Nagar, Gorega",19.149642,72.8469995
"Hoysala Nagar, Horamavu, Bengaluru, Karnataka, Ind",13.01728,77.6664976
"Borivali West, Mumbai, Maharashtra, India",19.2461644,72.8509056
"Kasarvadavali, Thane West, Thane, Maharashtra, Ind",19.2679379,72.9711542
"Khelgaon, Ranchi, Jharkhand, India",23.3891615,85.3936958
"Timarpur, New Delhi",28.7003675,77.2207566
