Pincode,Latitude,Longitude
691308,8.06,77.28
629702,8.08,77.53
629702,8.08367,77.54931
629602,8.09,77.48
744303,8.09687,93.51756
629701,8.09844,77.5195
629702,8.1,77.57
629501,8.1,77.42
629702,8.1,77.53
629252,8.1,77.4
629601,8.1,77.44
629602,8.10769,77.465
629501,8.11,77.4
629501,8.11,77.41
629601,8.11,77.43
629703,8.11,77.51
629702,8.11,77.54
629501,8.12,77.4
629501,8.12,77.38
629704,8.12,77.49
629602,8.12,77.45
629501,8.12131,77.47467
629202,8.12281,77.317
629501,8.13,77.42
629501,8.13,77.41
629701,8.13,77.48
629502,8.13,77.37
629202,8.13,77.34
629704,8.13,77.49
629703,8.13,77.51
629252,8.13,77.53
629161,8.13,77.28
629163,8.13,77.3
629502,8.13167,77.35728
629601,8.13364,77.45517
629401,8.14,77.53
629401,8.14,77.56
629501,8.14,77.42
629501,8.14,77.4
695313,8.14,76.23
629204,8.14389,77.32017
629252,8.14631,77.30442
629401,8.14728,77.54067
627127,8.14728,77.60022
629201,8.15,77.38
629401,8.15,77.56
629401,8.15,77.57
629403,8.15,77.49
629004,8.15,77.39
629704,8.15,77.48
629203,8.15164,77.33678
629403,8.15378,77.50689
627127,8.1543,77.59024
629002,8.15594,77.42231
629704,8.15703,77.46628
625514,8.15829,77.89889
625514,8.15829,77.61638
629201,8.16,77.36
629002,8.16,77.45
629002,8.16,77.44
629252,8.16,77.33
695024,8.16,76.54
629004,8.16303,77.41253
627120,8.16433,77.62897
627114,8.16517,77.57914
627114,8.16666,77.55316
627120,8.16789,77.61092
629204,8.17,77.32
629203,8.17,77.35
629704,8.17,77.47
629704,8.17,77.47
629402,8.17,77.5
629704,8.17,77.31
629402,8.17311,77.50383
629002,8.1735,77.43969
629251,8.17447,77.25094
629201,8.17467,77.38831
627114,8.17672,77.57519
627104,8.17886,77.74436
629801,8.18,77.36
629251,8.18,77.24
629251,8.18,77.27
629152,8.18,77.38
629001,8.18,77.4
629802,8.18,77.28
629402,8.18,77.15
629802,8.18,77.34
629802,8.18,77.32
629704,8.18,77.48
629251,8.18039,77.26156
627106,8.18078,77.66112
629001,8.18158,77.41681
629001,8.18169,77.43439
629001,8.18367,77.43153
629001,8.18639,77.43144
629003,8.18989,77.41481
629802,8.19,77.29
629003,8.19,77.4
629159,8.19,77.25
629003,8.19,77.4
629180,8.19,77.4
629159,8.19,77.25
629803,8.19,77.27
629001,8.19017,77.43803
629001,8.19025,77.43761
627114,8.19192,77.59787
629803,8.19325,77.28289
627106,8.19331,77.70714
629001,8.19386,77.43336
629801,8.19456,77.36308
629001,8.19572,77.42664
629001,8.19972,77.43108
629801,8.2,77.36
629003,8.2,77.38
629003,8.2,77.4
629901,8.2,77.45
629803,8.2,77.28
629804,8.2,77.29
629302,8.2,77.48
629809,8.20072,77.34772
629802,8.203,77.30558
629810,8.20611,77.32644
627114,8.20649,77.5717
628002,8.20658,78.75358
629178,8.20675,77.21653
628002,8.20947,78.24275
629159,8.2095,77.24767
628001,8.20958,78.57025
628002,8.20961,78.53692
629001,8.21,77.43
629302,8.21,77.47
629901,8.21,77.45
629001,8.21,77.42
629804,8.21,77.29
627114,8.2113,77.60054
627116,8.21404,77.63556
627104,8.21633,77.74428
627111,8.21827,77.67151
629165,8.22,77.32
629193,8.22,77.18
629159,8.22,77.26
629180,8.22,77.33
629802,8.22,77.32
629180,8.22,77.35
691556,8.22,76.03
629193,8.222,77.18
629804,8.22456,77.27317
629180,8.22469,77.35106
629251,8.23,77.43
629802,8.23,77.3
629901,8.23,77.43
629160,8.23,77.26
629157,8.23,77.21
629157,8.23,77.18
629157,8.23,77.28
629193,8.23,77.18
629168,8.23,77.32
629302,8.23,77.48
629153,8.23,77.48
629152,8.23,77.28
627116,8.23038,77.60906
629302,8.231,77.50428
629193,8.23103,77.18644
629173,8.23519,77.17428
627116,8.23533,77.63556
627106,8.2367,77.63282
629156,8.23764,77.25714
629157,8.23828,77.24011
629174,8.23953,77.30103
629301,8.24,77.49
629163,8.24,77.25
629173,8.24,77.19
629175,8.24,77.34
695121,8.24,77.04
627133,8.24014,77.57857
627111,8.24105,77.72711
695308,8.24124,76.46271
629175,8.24158,77.32208
629901,8.24367,77.45253
629175,8.24483,77.3165
627111,8.24517,77.77518
629301,8.25,77.57
629852,8.25,77.46
629160,8.25,77.28
629174,8.25,77.31
629157,8.25,77.16
629167,8.25,77.29
629157,8.25,77.22
629852,8.25008,77.44536
629175,8.25283,77.32589
627116,8.25341,77.64678
629154,8.25397,77.23622
627111,8.25616,77.76488
627116,8.25778,77.60642
627111,8.25875,77.71964
629169,8.26,77.26
629167,8.26,77.3
629167,8.26,77.27
629173,8.26,77.17
629175,8.26,77.31
629171,8.26,77.19
629176,8.26,77.15
627657,8.26028,77.82531
627657,8.26029,77.82531
629176,8.2605,77.14319
629167,8.26081,77.28628
627111,8.26561,77.68403
628704,8.26857,77.28523
627657,8.2689,77.85155
629852,8.27,77.43
629852,8.27,77.44
629158,8.27,77.26
629165,8.27,77.23
629154,8.27,77.14
627112,8.27239,77.68725
695146,8.27264,76.40152
629169,8.27328,77.24928
480771,8.27398,77.43702
695008,8.27561,76.55347
629160,8.28,77.11
629162,8.28,77.2
629160,8.28,77.14
629171,8.28,77.22
629171,8.28,77.22
629171,8.28011,77.17897
629158,8.28147,77.27456
627651,8.28194,77.88588
629166,8.28222,77.29889
627133,8.28222,77.56794
629703,8.28233,77.29894
627133,8.28484,77.59948
695023,8.28742,76.56649
629851,8.29,77.44
629164,8.29,77.3
629166,8.29,77.31
629158,8.29,77.26
629162,8.29,77.21
629158,8.29,77.29
629164,8.29,77.23
629171,8.29,77.17
627657,8.29224,77.83988
629172,8.29306,77.16956
695012,8.29353,76.58327
627651,8.29362,77.89481
695024,8.2939,76.56357
629155,8.29475,77.24725
627651,8.29568,77.90717
695014,8.29685,76.57726
629164,8.29922,77.30758
629162,8.29969,77.20333
695506,8.3,77.11
629851,8.3,77.46
629851,8.3,77.47
629851,8.3,77.43
629165,8.3,77.22
629160,8.3,77.13
629164,8.3,77.35
629166,8.3,77.3
629166,8.3,77.29
627651,8.30076,77.9271
695014,8.30105,76.57724
629851,8.30169,77.44325
629160,8.30233,77.12178
